id,serial,meter_type,status
0030dec0-42f3-46c2-b788-6fae34b1bdd5,01263393,Electric,Active
00347c8c-8c83-48f3-a383-0f96d51aa893,01262451,Electric,Active
00a4d6fa-e411-4c80-b1ea-09220bf4b065,01260642,Electric,Active
00dd8da2-3b81-41c4-b7a7-e51ee163a9d5,01264034,Electric,Active
01a135d0-b65a-437a-ab47-f8cf90970acd,01262443,Electric,Active
01a8135a-953b-4a4f-a22a-0ee6cff56ed7,01260749,Electric,Active
020d74f6-6ecc-4a21-a4a9-267d539a8078,01263170,Electric,Active
03002c1c-f2c3-4a0a-ab74-7b9b2c64a96a,01260593,Electric,Active
030a1c26-b601-4cca-8ae6-981df11f1443,01259969,Electric,Active
03243a11-c701-45f2-bd09-7c5963dcab09,01257995,Electric,Active
034c28bf-1f70-4f86-bb0d-d63a1e0c866a,TEST_01,Electric,Active
040c02b5-6edd-4ab4-b9ae-7b6a84f1c15e,01262493,Electric,Active
0438af40-e375-4f09-ae29-e81c7f1e65bf,01257796,Electric,Active
048798da-7ba4-4674-bb88-764714371688,01261813,Electric,Active
0492d738-bd90-4ffa-a146-276735e59a69,01262550,Electric,Active
04b3e14a-54c7-40a3-a662-4db60e507568,01262419,Electric,Active
050cd5d6-f1a2-4c27-8917-7fc190e46788,01262867,Electric,Active
051dda4b-9509-4ae1-bd9c-c4082e25ae0e,01260012,Electric,Active
0614339d-2bcf-42e0-97c4-509ceed2a10e,01260303,Electric,Active
062576e2-5bef-4cfb-953d-e765cabd14ec,01259170,Electric,Active
069a6e52-98cb-4196-a90c-f2cbc1137f78,01263810,Electric,Active
06a1aa90-b55d-41f5-b048-1bf12a6bf0a7,01257734,Electric,Active
06e6f9f8-5b07-4420-8c53-feec49948c50,01262094,Electric,Active
0740b54d-a33c-4f55-b9a5-06267fca8f74,01262571,Electric,Active
079a44bb-0ab8-4df6-88c3-ed8f6ae7d200,01261464,Electric,Active
08b37446-4c63-4b5c-b947-38ac772bcf40,01263173,Electric,Active
091d7d94-d491-42b5-a9d5-10585a839314,01263762,Electric,Active
092db72d-7dc6-47d3-b2cd-7a7b467bd821,01260889,Electric,Active
0942b7f0-25c8-4dbe-8be8-71f36e5450c2,01257594,Electric,Active
0a8e0705-318f-4678-9ffc-1e775e9f2372,01263689,Electric,Active
0bd024be-1c2d-4c6b-811a-e9e1be1f3bdc,01257408,Electric,Active
0bde26c4-f7c0-4abb-9ebb-e53a27aa9554,01258134,Electric,Active
0d843196-25bf-4a26-9402-104002d87fd8,01263473,Electric,Active
0fc36ee2-c536-4ba4-9648-e695cb699eec,01257951,Electric,Active
0feb75ba-fc3f-414c-8a43-e6edd39bbf25,01261189,Electric,Active
105f7138-eab6-44f3-8846-04d3f754b4c8,01262224,Electric,Active
10ae1871-27c3-4066-aee3-26d70ad5f599,01263362,Electric,Active
10cd9115-c06c-4e4c-bf68-f5e0c13a2a80,01258375,Electric,Active
12b05426-ebbe-45c3-a320-389cbcfb2d4f,01263177,Electric,Active
12c438d6-5a24-4f80-80c3-d53b106210b5,01262980,Electric,Active
138ed558-5006-4cf3-b920-ba22a91d35ef,01262223,Electric,Active
1427617d-26a6-4791-860f-aeb988cf0a51,01257985,Electric,Active
14ab067d-12a5-49d6-a3e8-a396e0ff5715,01262114,Electric,Active
155c3e87-f047-4267-9116-b09e4c200f6b,01262431,Electric,Active
15816846-7725-4517-9a86-508312cbd131,01259314,Electric,Active
166b8c54-9c47-4bbf-8af1-ef194e59f640,01257498,Electric,Active
16a48fb9-6324-4c97-b5fa-68c93c9be39c,01257843,Electric,Active
18a34095-b08a-40e7-8d53-b743355ffc9c,01264042,Electric,Active
18b70f9c-7acb-4f5b-8235-1114839e7e4d,01258078,Electric,Active
194b2558-58d5-4d01-9fb8-ccc30e4956d2,01263560,Electric,Active
19a40b93-f852-4aea-89cb-4415ae3b4a7c,01258189,Electric,Active
1a565bc3-3950-471b-9a85-c164c565bd52,01263441,Electric,Active
1b096b6e-c27a-41aa-aafb-49d041626949,01257806,Electric,Active
1c0b70ba-adc6-4279-892c-4b563ebfa226,01262501,Electric,Active
1c15646f-3618-4764-8b12-086b6721e17d,01262464,Electric,Active
1cb0f94a-26b2-4b69-9844-4afef6797852,01260658,Electric,Active
1cef8869-01bf-4695-800f-43c0ae48ce09,01263076,Electric,Active
1dc63280-6377-4915-97c5-0ebc1b4dbfe8,01261551,Electric,Active
1f19ec07-a16f-4fe1-9d43-4cf10e573ccc,01259009,Electric,Active
1fbe82ae-71a6-4501-a10f-788a8661c224,01263247,Electric,Active
1fee3690-4f47-40f0-be7f-9ed2eef05835,01263245,Electric,Active
209e9955-095c-4749-9646-d649eeebd809,01263639,Electric,Active
214acce6-82c2-41e2-8402-2453cae2fbba,01258861,Electric,Active
2262ea14-e50e-46ad-8b46-1d71f5e3a8c0,01258243,Electric,Active
22b4fa9a-e236-43a0-bce1-c86b04c8bbe3,01259069,Electric,Active
2385b8d0-082b-4da0-94c8-e49bd0ecc4aa,01258042,Electric,Active
23af13bc-72e6-44a4-a8f3-eacb03260242,01262619,Electric,Active
23ea2585-6d28-4cf4-a328-fa3302736d56,01257591,Electric,Active
241d86ff-5bd7-416b-aaf2-08624da13744,01261794,Electric,Active
243288dd-b3e4-4673-bdef-6d0d230773a7,01263157,Electric,Active
248457d6-c4da-4639-85dd-40da3088d9d5,01262575,Electric,Active
24a3edaf-7fda-45ef-a5b3-12f448f88836,01263969,Electric,Active
24a7196b-7190-4bf2-9034-9341a1097a1a,01262449,Electric,Active
2564c005-da06-4ab4-b1f8-1a746267ef3a,01257803,Electric,Active
2600ed22-64e3-4535-9df7-fc7d29d25324,01258862,Electric,Active
26597209-2c48-4fe5-ad26-f288dd545ac5,01262553,Electric,Active
266db20d-3582-49a1-8c90-c39400f77dac,01258865,Electric,Active
26b5dffe-c4ce-4b0c-9508-a6ebb63c6cc5,01262207,Electric,Active
27a95ba0-7dda-4281-ad28-bea3bda62056,01260864,Electric,Active
28b0d050-1667-49ab-8776-92a44a9bdc6b,01259242,Electric,Active
28e59762-58ea-481c-b1ba-95ec55f03721,01262964,Electric,Active
299120b7-3275-472e-ad05-e68d723fff1f,01258030,Electric,Active
2aa929a2-ee06-4fe1-b3e4-3ee6516a0c67,01259457,Electric,Active
2b462b88-cdf6-4176-b280-ab04aedc0a6f,01261286,Electric,Active
2b557f8e-0345-4b79-9aef-d36bf9e4facd,01263210,Electric,Active
2b971be2-2c77-41ad-affe-e4ba1615b2ce,01261567,Electric,Active
2bb9c83b-4ca6-4068-bb1e-3114569b4d92,01259594,Electric,Active
2cdb8a19-babe-43b9-b955-2787864b8277,01263161,Electric,Active
2d3793b9-5429-4b49-8495-6567e2bd4744,01263455,Electric,Active
2dd9a276-04ca-4188-8671-806fc7056d4f,01261578,Electric,Active
2e668fb6-9388-42c1-b6e0-315be9e9477f,01263396,Electric,Active
2f303b8a-e8e4-4499-830a-0bc023c7893c,01263234,Electric,Active
2fb3c6aa-8c2f-4b43-be48-35f700b0a56d,01260951,Electric,Active
3097b77e-c355-45ea-98bb-4788c179db8b,01259550,Electric,Active
30cfb4f5-b4d1-4ef5-90f5-9f1cd8196ecb,01263168,Electric,Active
30d16327-b271-4afe-95c7-422d7202e42b,01261329,Electric,Active
31a2fb46-ce27-4807-8bf0-5afe94a33496,01263205,Electric,Active
321a0185-1edb-45c3-946c-9b19742668ae,01263521,Electric,Active
33490c07-3a5c-4ec5-9df9-5497179483fd,01258595,Electric,Active
337a63bf-d49e-4c97-96b7-46985f8d6c7a,01258357,Electric,Active
337fa306-1339-40aa-b59a-11a9219c2b28,01263300,Electric,Active
349f55ad-7738-4d60-9d15-d79ce5bf4d2e,01263305,Electric,Active
34fac3cd-adb2-4431-9e55-c78351947d1e,01263557,Electric,Active
35ba682f-74d9-4303-93bb-7533c18c32b0,01257955,Electric,Active
35dd7208-7ed6-4e50-8125-19d96f2e99bc,01264045,Electric,Active
362125ea-0985-4d6a-a6f5-43c31ca018ad,01263351,Electric,Active
365571e0-c36d-4654-b4e2-63f3b0c110d1,01258144,Electric,Active
370b93f8-49b3-4086-b177-081236a37c8c,01257078,Electric,Active
371c9d25-0ce7-448a-ae22-d8894fe17856,01258659,Electric,Active
376db15b-2e2e-4620-9544-42da803fa807,01262515,Electric,Active
37a5c9a4-fb56-42a0-91e1-641ab07d52e7,01262447,Electric,Active
3a4f56d2-9e3d-4914-ac87-1f21c854fb18,01263428,Electric,Active
3b129592-6cbe-4b5a-a59d-2a4af5189beb,01261852,Electric,Active
3be3537b-9001-411f-b572-cfab320a72ba,01262555,Electric,Active
3c2e6da8-f181-4123-a39f-e2eee1ab72e8,01262505,Electric,Active
3e2b0725-6617-4e1e-a328-5a466b55982b,01263547,Electric,Active
3ef3ccd1-d350-4750-9d02-9776ebc21b58,01257817,Electric,Active
40371b94-ba2f-418a-bbda-0533af1e6232,01263431,Electric,Active
406ea704-d6b5-4805-a722-7125ef44b387,01257292,Electric,Active
425c6268-b74b-4b00-ad1a-13af03d911a5,01260606,Electric,Active
433a73d0-57dc-4033-b9e4-ae42e8b07634,01263765,Electric,Active
4360b021-b1de-451a-9c51-482d4d5759f5,01263121,Electric,Active
438fd74f-178b-4ae1-94a3-9d8cb2d67b7e,01263312,Electric,Active
43b9943a-9a46-4e63-b8cf-9184da24f2d7,01257572,Electric,Active
441213fc-511f-4f00-aaf5-e85d0fdd5f2d,01262726,Electric,Active
469850bc-e3e2-4537-9528-bf8e8af4c669,01259287,Electric,Active
46a7ad3d-50bf-4b48-907e-8306f516e1ae,01257699,Electric,Active
47e49655-e95f-45cd-9257-2c26a320a3ed,01262558,Electric,Active
48960e1c-34ee-45e5-be61-fac73a20bc67,01259442,Electric,Active
492dc87c-7a9d-4f2e-a0d6-e27515115545,01261555,Electric,Active
4a68479f-8f8b-486c-ab83-f6438a218fde,01262683,Electric,Active
4b18945c-c69d-4655-8a20-690d901a6116,01257515,Electric,Active
4b3c721d-2c02-4dd6-9b9a-6969584e11e3,01257464,Electric,Active
4b42e457-f4ec-4bbd-8111-11182eb039df,01263090,Electric,Active
4b9e98a7-6ad1-4218-854f-e9caa0074791,01262584,Electric,Active
4bd9dc4d-a183-4e06-9341-7aacf26862bc,01262255,Electric,Active
4c2837fe-a388-4c3a-bcf8-767d645cc469,01260990,Electric,Active
4c31c5b9-0ea7-4c91-993c-816b65b6f21b,01263186,Electric,Active
4d356cbb-221c-42fd-bf60-f236e8cba805,01262421,Electric,Active
4dae4dc0-6fda-461e-a81e-9feba95a066d,01262430,Electric,Active
4e825fee-d263-45d4-a2ac-be02f03aea97,01258879,Electric,Active
4ec49449-a775-4316-a500-7334a2acff0a,01264032,Electric,Active
4fa2f973-ea53-44fb-bc56-e6428d066cb0,01258528,Electric,Active
5011095a-8a37-4023-b754-c44f880dfcb5,01257729,Electric,Active
5090c140-a3b7-4b31-8197-bce1bb7aebb2,01262503,Electric,Active
5164d937-61eb-4ccc-b9f7-8dee3df0fa48,01262610,Electric,Active
51aa1a2c-7d5b-4b38-b074-a276525b0679,01262456,Electric,Active
51e7e015-c042-4b9a-a120-db5d90fcd137,01262402,Electric,Active
51f3b5d8-e5ff-4c15-8640-b60600e8b0bb,01262463,Electric,Active
521e499c-4a43-487e-bccb-038dfedb9f75,01263317,Electric,Active
53a5f933-af0b-4d94-9367-2d6aa8086862,01257604,Electric,Active
53e13369-3b88-403c-99a2-1005d0f322f7,01263808,Electric,Active
54c688d3-f1b9-48eb-980e-8b85c2767ab0,01261242,Electric,Active
555b6e79-aefb-4f37-992f-6d69ba05e07f,01260661,Electric,Active
558d5edb-4216-4b8f-a8c0-ae04d04fe54c,01262724,Electric,Active
57cb9106-3711-4296-ace3-49ca17e7a67a,01257559,Electric,Active
58867142-567e-4888-a7a1-009b60e44640,01257808,Electric,Active
598b47e8-8cec-4757-ae9c-11e987df8d25,01263334,Electric,Active
59a0866f-e523-4013-8a7f-c479ff554861,01257783,Electric,Active
59e3a66f-9b6e-4390-9946-048fe654bb00,01263124,Electric,Active
5a313e26-ec95-4b8d-a15a-afc671e2a601,01258577,Electric,Active
5ab0dd6c-d996-4f8d-9225-2acdd8ded86f,01258530,Electric,Active
5abbb2b6-1464-4784-9c4b-7307fdec8a4d,01263880,Electric,Active
5ada6db5-4e26-49b0-8e14-0cfbefc98779,01258255,Electric,Active
5b019a1e-31f9-4f29-8c37-60ac34dfb787,01262406,Electric,Active
5b685a01-2fe7-43dd-a4d4-b682c9df7258,01262512,Electric,Active
5c21bf8d-d69c-4461-b687-a1310d35bb4e,01262454,Electric,Active
5c4bea30-d864-4f9c-9574-80f6d7da05b9,01259780,Electric,Active
5da94a62-30bb-4db9-b65b-c46c31ba075e,01261528,Electric,Active
5dc4f610-ff64-4c31-998a-5f0b0e07e1d4,01261006,Electric,Active
5dd9aec5-75ae-4f78-851c-a2ea55cba5ea,01261071,Electric,Active
5df4f912-7b58-4ca7-9db4-d0dd0f91a4f5,01260865,Electric,Active
5e751e86-85cc-4aee-a3be-0940ba4c1ad9,01257443,Electric,Active
5f4c8bf5-99fe-4530-95cb-2f7c8d8ba45c,01261433,Electric,Active
5f9f14a4-647e-4419-8943-1a65acb1e651,01262723,Electric,Active
6002c98a-83e3-4be9-9696-89251af32234,01262472,Electric,Active
602716a8-8136-4193-8210-c7942e3d67b8,01263394,Electric,Active
60d10021-e846-4c49-be98-bc0ffe45b801,01263878,Electric,Active
6133f850-2e9b-4787-93c7-554821e7fa0c,01258338,Electric,Active
62734270-b886-40ac-9beb-b8b82661614a,01258612,Electric,Active
